service_id,date,exception_type
30121,20260101,2
30121,20250501,2
30121,20250504,2
30121,20250623,2
30121,20250624,2
30121,20251118,2
30121,20251224,2
30121,20251225,2
30121,20251226,2
30121,20251231,2
29836,20260101,1
29836,20250501,1
29836,20250504,1
29836,20250623,1
29836,20250624,1
29836,20251118,1
29836,20251224,1
29836,20251225,1
29836,20251226,1
29836,20251231,1
30778,20260101,2
30778,20250501,2
30778,20250504,2
30778,20250623,2
30778,20250624,2
30778,20251118,2
30778,20251224,2
30778,20251225,2
30778,20251226,2
30778,20251231,2
30779,20260101,2
30779,20250501,2
30779,20250504,2
30779,20250623,2
30779,20250624,2
30779,20251118,2
30779,20251224,2
30779,20251225,2
30779,20251226,2
30779,20251231,2
30966,20260101,1
30966,20250501,1
30966,20250504,1
30966,20250623,1
30966,20250624,1
30966,20251118,1
30966,20251224,1
30966,20251225,1
30966,20251226,1
30966,20251231,1
30967,20260101,1
30967,20250501,1
30967,20250504,1
30967,20250623,1
30967,20250624,1
30967,20251118,1
30967,20251224,1
30967,20251225,1
30967,20251226,1
30967,20251231,1
29909,20260101,2
29909,20250501,2
29909,20250504,2
29909,20250623,2
29909,20250624,2
29909,20251118,2
29909,20251224,2
29909,20251225,2
29909,20251226,2
29909,20251231,2
30853,20260101,1
30853,20250501,1
30853,20250504,1
30853,20250623,1
30853,20250624,1
30853,20251118,1
30853,20251224,1
30853,20251225,1
30853,20251226,1
30853,20251231,1
30851,20260101,2
30851,20250501,2
30851,20250504,2
30851,20250623,2
30851,20250624,2
30851,20251118,2
30851,20251224,2
30851,20251225,2
30851,20251226,2
30851,20251231,2
30969,20260101,2
30969,20250501,2
30969,20250504,2
30969,20250623,2
30969,20250624,2
30969,20251118,2
30969,20251224,2
30969,20251225,2
30969,20251226,2
30969,20251231,2
30970,20260101,1
30970,20250501,1
30970,20250504,1
30970,20250623,1
30970,20250624,1
30970,20251118,1
30970,20251224,1
30970,20251225,1
30970,20251226,1
30970,20251231,1
31367,20260101,1
31367,20250501,1
31367,20250504,1
31367,20250623,1
31367,20250624,1
31367,20251118,1
31367,20251224,1
31367,20251225,1
31367,20251226,1
31367,20251231,1
31366,20260101,2
31366,20250501,2
31366,20250504,2
31366,20250623,2
31366,20250624,2
31366,20251118,2
31366,20251224,2
31366,20251225,2
31366,20251226,2
31366,20251231,2
29827,20260101,2
29827,20250501,2
29827,20250504,2
29827,20250623,2
29827,20250624,2
29827,20251118,2
29827,20251224,2
29827,20251225,2
29827,20251226,2
29827,20251231,2
30889,20260101,2
30889,20250501,2
30889,20250504,2
30889,20250623,2
30889,20250624,2
30889,20251118,2
30889,20251224,2
30889,20251225,2
30889,20251226,2
30889,20251231,2
30938,20260101,1
30938,20250501,1
30938,20250504,1
30938,20250623,1
30938,20250624,1
30938,20251118,1
30938,20251224,1
30938,20251225,1
30938,20251226,1
30938,20251231,1
29825,20260101,2
29825,20250501,2
29825,20250504,2
29825,20250623,2
29825,20250624,2
29825,20251118,2
29825,20251224,2
29825,20251225,2
29825,20251226,2
29825,20251231,2
30972,20260101,2
30972,20250501,2
30972,20250504,2
30972,20250623,2
30972,20250624,2
30972,20251118,2
30972,20251224,2
30972,20251225,2
30972,20251226,2
30972,20251231,2
30844,20260101,2
30844,20250501,2
30844,20250504,2
30844,20250623,2
30844,20250624,2
30844,20251118,2
30844,20251224,2
